id,question,correctanswer,answera,answerb,answerc,answerd
100001,when athletes begin exercise heart rates respiration at level organization human coordinate functions,c,tissue level,organ level,level,cellular level
100002,example describes learned behavior dog,c,smelling air odors,barking disturbed,sitting command,digging
100003,when nuclei combined nucleus slight release large called,d,conversion,reaction,fission,fusion
100004,distinction epidemic pandemic,b,symptoms disease,geographical area affected,infected,season disease spreads
100005,way orbit comet,b,orbit less circular comet,orbit comet elliptical,orbital period much longer comet,orbital period comet predictable
100006,a teacher builds model hydrogen atom red golf ball used proton green electron accurate concerning,b,number particles,relative particles,types particles present,charges particles present
100007,substance should student apply skin if he she gets splashed acid,a,water,vinegar,salt,formaldehyde
100008,main source cycle,a,sun,fossil fuels,clouds,ocean
100009,greatest effect aiding movement blood through human,d,tension,friction,density,gravity
100010,over non volcanic mountains form due interaction plate boundaries associated formation,c,oceanic plates colliding,oceanic plates separating,continental plates colliding,continental plates separating
100011,human body average normal temperature about ° f to keep core becoming too high brain sends signal,d,decrease sugar levels blood,sugar levels blood,decrease blood flow skin,blood flow skin
100012,explanation term ecology,d,study nonliving parts environment,study living parts environment,study protection renewal natural resources,study interactions environment
100013,farmer sprayed his orange trees pesticide eliminate insects damaging some survived produced offspring were also resistant insecticide illustrated resistance,a,natural selection,selective breeding,aerobic respiration,sexual reproduction
100014,researchers work teams make cars fuel efficient statements describes main advantage working rather individually,c,research published,research costs less perform,researchers share ideas,researchers complete work
100015,achromatopsia genetic disorder sufferers no color vision affects structures eye,b,rod,cone,lens,iris
100016,elements organic compound,b,helium,hydrogen,mercury,tin
100017,describes principle learn about structure interior,c,solid materials absorb seismic waves,magnetic fields deflect seismic waves,density material affects speed seismic wave,physical state material determines amplitude seismic wave
100018,scientist looks graph shows percentages humus clay sand make up if had total weight material instead type illustrate data,a,bar graph,scatterplot,circle graph,pictograph
100019,robots perform tasks dangerous humans major limitation,b,assembly pieces must very small,assembly must remain exactly,robots require regular maintenance,robots must provided electricity
100020,student investigated percentage obtained several sources population eagles format way display data,b,table,pie chart,bar graph,line graph
100021,voyager ii space probe launched mission flying past outer gas giant planets collecting data unit measurement describe distance traveled reach neptune,c,meters,kilometers,astronomical units,years
100022,cellular structure allows nutrients pass,c,mitochondrion,nucleus,membrane,chloroplast
100023,behavior help animals establish territory,c,caribou herd migrates seasonally,scent trail leads ants source,wolf pack howls warn wolves stay away,honeybee society divides work members
100024,brain spinal cord nerves organs perform primary function,d,supporting enabling move,transporting oxygen wastes nutrients throughout,producing male female gametes,conducting messages coordinate functions
100025,describes liquid sample,a,retain volume if transferred larger container,keeps shape transferred larger container,its volume greatly reduced adding pressure,its shape changed increasing
100026,condition bees called colony collapse disorder occurs worker leave hive collect nectar never return decline bee population affect farm ecosystem,b,there decrease thickness,there decline fruit production,there diseases,there insect pest populations
100027,set contains kingdoms contain heterotrophs,d,protists fungi,bacteria animals,fungi,animals fungi
100028,when passes through lens your eye produces image retina,d,smaller,larger,upright,inverse
100029,should researchers share findings validate study effectiveness medication,b,e mail research results local newspapers,publish research results scientific journal,publish results brochures doctors,discuss research results internet
100030,some ancient greeks tried discover laws universe through thought logic part scientific were missing,b,analysis,experiment,conclusion,observation
100031,when scientists investigate nature gravity why beneficial them review work who studied past,b,ensures investigations study identical topics,provides perspectives research topic,prevents studying topics relevant,gives access any data may missing investigations
100032,greatest contributor air pollution united states,b,factories,automobiles,power,burning waste
100033,why ozone content stratosphere important living,b,ozone absorbs infrared radiation,ozone absorbs ultraviolet radiation,ozone necessary create oxygen living things,ozone atmosphere prevents radiation heat
100034,an ecosystem community interacting physical environment why decomposers important part ecosystems,a,break down dead return nutrients,produce own survival,play role preventing weathering erosion,provide consumers
100035,populations respond over changing environments through,a,adaptation,competition,ecological succession,extinction
100036,number sequence amino acids protein determines,d,properties,shape,size,above
100037,research team wanted produce smaller variety german shepherd dogs mated smallest litters several generations this example concept,c,extinction,mutation,selective breeding,natural selection
100038,as glacier melts retreats layer bedrock exposed term describes establishes community,b,disturbance,succession,weathering,stabilization
100039,some areas world experiencing desert like conditions this favors survival ability do,b,consume large amounts,become dormant long periods,sense infrared ultraviolet,transpire through skin atmosphere
100040,many birds living certain coastal environment high level concentration pesticides bodies conclusion made about,d,pesticides exist naturally environment,picked up pesticides coastal soils,high ocean tides brought pesticides nesting areas,fish consumed birds contaminated pesticides
100041,main function circulatory,d,secrete enzymes,digest proteins,produce hormones,transport materials
100042,type organism lowest level chain,a,autotroph,heterotroph,carnivore,omnivore
100043,with climate transfer energy heat three mechanisms surface atmosphere,a,conduction convection radiation,reflection retention radiation,convection nuclear reflection,conduction solar nuclear
100044,scientist searches fossils sedimentary rocks explains why find types,a,mold form organism buried sediment,live areas where sedimentary rocks,types difficult examine compared sedimentary rocks,sedimentary rocks common type
100045,describes nature sound,c,sound travels fastest air,sound travels faster,sound travels longitudinal waves,sound travels transverse waves
100046,gastroenterologist doctor who treats problems esophagus stomach intestines organ cared type,c,circulatory,muscular,digestive,nervous
100047,many wildflowers growing floor dense forests bloom early spring reason why,a,canopy trees developed leaves so wildflowers get,butterflies pollinate flowers active early spring,there fewer animals eat flowers before pollinated,early spring warmest year so wildflowers grow easily
100048,remains constant cycle,a,total available,way,physical state containing molecules,molecule particular atom
100049,correct order waves according increasing wavelengths,a,x rays > ultraviolet visible microwaves fm radio waves,microwaves > x rays ultraviolet fm radio waves visible,visible > x rays ultraviolet microwaves fm radio waves,fm radio waves > microwaves visible ultraviolet x rays
100050,when core protostar reached around million k pressure within so immense nuclear fusion hydrogen begins born,b,red giant,star,super red giant,black hole
100051,family owns vacation cabin located hillside below gas station leaking gasoline storage tank situation drinking contaminated,c,pumped cabin distant reservoir,family brings several gallons bottled spring,groundwater drawn up buckets private well,family collects rain barrels left open air
100052,scientist working package design wants material highly recyclable biodegradable inexpensive,b,aluminum,cardboard,plastic,glass
100053,male testes located external scrotum because,a,normal too warm sperm production,external scrotum offers better protection testes,sperm produced testes stored epididymus,sperm must mix seminal fluid before exiting penis
100054,three major types rocks,d,metamorphic intrusive extrusive,sedimentary metamorphic granite,igneous metamorphic pumice,igneous metamorphic sedimentary
100055,determines long moon takes complete cycle phases,b,period rotation moon around axis,period revolution moon around,period rotation around axis,period revolution around
100056,arabidopsis thaliana has gene been show unusually high rate mutation conclusion supported observation,d,gene codes flower color,gene controlled environment heredity,traits associated gene beneficial,traits associated gene may vary greatly
100057,true about natural resource,a,renewable resource requires good stewardship,renewable resource so supply cannot exhausted,nonrenewable resource requires good stewardship,nonrenewable resource but supply cannot exhausted
